category,substance,sample_type,unit,year,age_group_en,age_group_kr,statistic,value
중금속,납,전혈,㎍/dL,2023,middle_high_school,중고등학생,geometric_mean,0.2
중금속,납,전혈,㎍/dL,2023,middle_high_school,중고등학생,p95,0.403
중금속,납,전혈,㎍/dL,2023,adult,성인,geometric_mean,1.44
중금속,납,전혈,㎍/dL,2023,adult,성인,p95,3.62
중금속,납,요,㎍/L,2023,preschool,영유아,geometric_mean,0.507
중금속,납,요,㎍/L,2023,preschool,영유아,p95,1.45
중금속,납,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.522
중금속,납,요,㎍/L,2023,elementary,초등학생,p95,1.22
중금속,납,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.53
중금속,납,요,㎍/L,2023,middle_high_school,중고등학생,p95,1.19
중금속,납,요,㎍/L,2023,adult,성인,geometric_mean,0.692
중금속,납,요,㎍/L,2023,adult,성인,p95,2.11
중금속,납,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.569
중금속,납,요,㎍/g cr.,2023,preschool,영유아,p95,1.78
중금속,납,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.423
중금속,납,요,㎍/g cr.,2023,elementary,초등학생,p95,0.961
중금속,납,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.316
중금속,납,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.695
중금속,납,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.695
중금속,납,요,㎍/g cr.,2023,adult,성인,p95,2.06
중금속,수은,전혈,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,1.19
중금속,수은,전혈,㎍/L,2023,middle_high_school,중고등학생,p95,3.01
중금속,수은,전혈,㎍/L,2023,adult,성인,geometric_mean,2.52
중금속,수은,전혈,㎍/L,2023,adult,성인,p95,7.18
중금속,수은,요,㎍/L,2023,preschool,영유아,geometric_mean,0.277
중금속,수은,요,㎍/L,2023,preschool,영유아,p95,0.867
중금속,수은,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.291
중금속,수은,요,㎍/L,2023,elementary,초등학생,p95,0.889
중금속,수은,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.337
중금속,수은,요,㎍/L,2023,middle_high_school,중고등학생,p95,1.21
중금속,수은,요,㎍/L,2023,adult,성인,geometric_mean,0.34
중금속,수은,요,㎍/L,2023,adult,성인,p95,1.64
중금속,수은,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.32
중금속,수은,요,㎍/g cr.,2023,preschool,영유아,p95,0.887
중금속,수은,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.237
중금속,수은,요,㎍/g cr.,2023,elementary,초등학생,p95,0.584
중금속,수은,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.195
중금속,수은,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.552
중금속,수은,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.344
중금속,수은,요,㎍/g cr.,2023,adult,성인,p95,1.18
중금속,카드뮴,전혈,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.129
중금속,카드뮴,전혈,㎍/L,2023,middle_high_school,중고등학생,p95,0.223
중금속,카드뮴,전혈,㎍/L,2023,adult,성인,geometric_mean,0.577
중금속,카드뮴,전혈,㎍/L,2023,adult,성인,p95,2.03
중금속,카드뮴,요,㎍/L,2023,preschool,영유아,geometric_mean,0.211
중금속,카드뮴,요,㎍/L,2023,preschool,영유아,p95,0.507
중금속,카드뮴,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.247
중금속,카드뮴,요,㎍/L,2023,elementary,초등학생,p95,0.576
중금속,카드뮴,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.286
중금속,카드뮴,요,㎍/L,2023,middle_high_school,중고등학생,p95,0.68
중금속,카드뮴,요,㎍/L,2023,adult,성인,geometric_mean,0.594
중금속,카드뮴,요,㎍/L,2023,adult,성인,p95,2.18
중금속,카드뮴,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.239
중금속,카드뮴,요,㎍/g cr.,2023,preschool,영유아,p95,0.459
중금속,카드뮴,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.2
중금속,카드뮴,요,㎍/g cr.,2023,elementary,초등학생,p95,0.398
중금속,카드뮴,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.164
중금속,카드뮴,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.326
중금속,카드뮴,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.6
중금속,카드뮴,요,㎍/g cr.,2023,adult,성인,p95,2.22
중금속,망가니즈,전혈,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,2.54
중금속,망가니즈,전혈,㎍/L,2023,middle_high_school,중고등학생,p95,3.75
중금속,망가니즈,전혈,㎍/L,2023,adult,성인,geometric_mean,16.6
중금속,망가니즈,전혈,㎍/L,2023,adult,성인,p95,31.1
중금속,망가니즈,요,㎍/L,2023,preschool,영유아,geometric_mean,0.234
중금속,망가니즈,요,㎍/L,2023,preschool,영유아,p95,0.636
중금속,망가니즈,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.221
중금속,망가니즈,요,㎍/L,2023,elementary,초등학생,p95,0.639
중금속,망가니즈,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.234
중금속,망가니즈,요,㎍/L,2023,middle_high_school,중고등학생,p95,0.842
중금속,망가니즈,요,㎍/L,2023,adult,성인,geometric_mean,0.193
중금속,망가니즈,요,㎍/L,2023,adult,성인,p95,0.706
중금속,망가니즈,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.254
중금속,망가니즈,요,㎍/g cr.,2023,preschool,영유아,p95,0.807
중금속,망가니즈,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.175
중금속,망가니즈,요,㎍/g cr.,2023,elementary,초등학생,p95,0.581
중금속,망가니즈,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.139
중금속,망가니즈,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.57
중금속,망가니즈,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.187
중금속,망가니즈,요,㎍/g cr.,2023,adult,성인,p95,0.914
중금속,몰리브데넘,전혈,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.112
중금속,몰리브데넘,전혈,㎍/L,2023,middle_high_school,중고등학생,p95,0.232
중금속,몰리브데넘,전혈,㎍/L,2023,adult,성인,geometric_mean,0.964
중금속,몰리브데넘,전혈,㎍/L,2023,adult,성인,p95,3.44
중금속,몰리브데넘,요,㎍/L,2023,preschool,영유아,geometric_mean,113.0
중금속,몰리브데넘,요,㎍/L,2023,preschool,영유아,p95,331.0
중금속,몰리브데넘,요,㎍/L,2023,elementary,초등학생,geometric_mean,102.0
중금속,몰리브데넘,요,㎍/L,2023,elementary,초등학생,p95,295.0
중금속,몰리브데넘,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,81.0
중금속,몰리브데넘,요,㎍/L,2023,middle_high_school,중고등학생,p95,236.0
중금속,몰리브데넘,요,㎍/L,2023,adult,성인,geometric_mean,56.6
중금속,몰리브데넘,요,㎍/L,2023,adult,성인,p95,211.0
중금속,몰리브데넘,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,129.0
중금속,몰리브데넘,요,㎍/g cr.,2023,preschool,영유아,p95,305.0
중금속,몰리브데넘,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,83.0
중금속,몰리브데넘,요,㎍/g cr.,2023,elementary,초등학생,p95,201.0
중금속,몰리브데넘,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,47.5
중금속,몰리브데넘,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,113.0
중금속,몰리브데넘,요,㎍/g cr.,2023,adult,성인,geometric_mean,57.3
중금속,몰리브데넘,요,㎍/g cr.,2023,adult,성인,p95,163.0
중금속,니켈,전혈,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.19
중금속,니켈,전혈,㎍/L,2023,middle_high_school,중고등학생,p95,0.378
중금속,니켈,전혈,㎍/L,2023,adult,성인,geometric_mean,2.39
중금속,니켈,전혈,㎍/L,2023,adult,성인,p95,5.22
중금속,니켈,요,㎍/L,2023,preschool,영유아,geometric_mean,3.33
중금속,니켈,요,㎍/L,2023,preschool,영유아,p95,8.61
중금속,니켈,요,㎍/L,2023,elementary,초등학생,geometric_mean,3.6
중금속,니켈,요,㎍/L,2023,elementary,초등학생,p95,11.0
중금속,니켈,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,3.08
중금속,니켈,요,㎍/L,2023,middle_high_school,중고등학생,p95,7.77
중금속,니켈,요,㎍/L,2023,adult,성인,geometric_mean,2.45
중금속,니켈,요,㎍/L,2023,adult,성인,p95,6.58
중금속,니켈,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,3.82
중금속,니켈,요,㎍/g cr.,2023,preschool,영유아,p95,7.68
중금속,니켈,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,2.94
중금속,니켈,요,㎍/g cr.,2023,elementary,초등학생,p95,8.99
중금속,니켈,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,1.81
중금속,니켈,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,4.36
중금속,니켈,요,㎍/g cr.,2023,adult,성인,geometric_mean,2.47
중금속,니켈,요,㎍/g cr.,2023,adult,성인,p95,6.51
중금속,안티모니,전혈,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.465
중금속,안티모니,전혈,㎍/L,2023,middle_high_school,중고등학생,p95,0.64
중금속,안티모니,전혈,㎍/L,2023,adult,성인,geometric_mean,4.15
중금속,안티모니,전혈,㎍/L,2023,adult,성인,p95,6.09
중금속,안티모니,요,㎍/L,2023,preschool,영유아,geometric_mean,0.088
중금속,안티모니,요,㎍/L,2023,preschool,영유아,p95,0.247
중금속,안티모니,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.0964
중금속,안티모니,요,㎍/L,2023,elementary,초등학생,p95,0.247
중금속,안티모니,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.0949
중금속,안티모니,요,㎍/L,2023,middle_high_school,중고등학생,p95,0.224
중금속,안티모니,요,㎍/L,2023,adult,성인,geometric_mean,0.067
중금속,안티모니,요,㎍/L,2023,adult,성인,p95,0.215
중금속,안티모니,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.0993
중금속,안티모니,요,㎍/g cr.,2023,preschool,영유아,p95,0.222
중금속,안티모니,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.0766
중금속,안티모니,요,㎍/g cr.,2023,elementary,초등학생,p95,0.201
중금속,안티모니,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.0555
중금속,안티모니,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.14
중금속,안티모니,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.0649
중금속,안티모니,요,㎍/g cr.,2023,adult,성인,p95,0.233
중금속,바나듐,전혈,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.0449
중금속,바나듐,전혈,㎍/L,2023,middle_high_school,중고등학생,p95,0.102
중금속,바나듐,전혈,㎍/L,2023,adult,성인,geometric_mean,0.444
중금속,바나듐,전혈,㎍/L,2023,adult,성인,p95,0.717
중금속,바나듐,요,㎍/L,2023,preschool,영유아,geometric_mean,0.209
중금속,바나듐,요,㎍/L,2023,preschool,영유아,p95,0.483
중금속,바나듐,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.236
중금속,바나듐,요,㎍/L,2023,elementary,초등학생,p95,0.481
중금속,바나듐,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.242
중금속,바나듐,요,㎍/L,2023,middle_high_school,중고등학생,p95,0.524
중금속,바나듐,요,㎍/L,2023,adult,성인,geometric_mean,0.187
중금속,바나듐,요,㎍/L,2023,adult,성인,p95,0.426
중금속,바나듐,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.232
중금속,바나듐,요,㎍/g cr.,2023,preschool,영유아,p95,0.566
중금속,바나듐,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.188
중금속,바나듐,요,㎍/g cr.,2023,elementary,초등학생,p95,0.422
중금속,바나듐,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.146
중금속,바나듐,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.335
중금속,바나듐,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.183
중금속,바나듐,요,㎍/g cr.,2023,adult,성인,p95,0.481
중금속,크로뮴,요,㎍/L,2023,preschool,영유아,geometric_mean,0.358
중금속,크로뮴,요,㎍/L,2023,preschool,영유아,p95,0.896
중금속,크로뮴,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.271
중금속,크로뮴,요,㎍/L,2023,elementary,초등학생,p95,0.713
중금속,크로뮴,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.3
중금속,크로뮴,요,㎍/L,2023,middle_high_school,중고등학생,p95,0.644
중금속,크로뮴,요,㎍/L,2023,adult,성인,geometric_mean,0.257
중금속,크로뮴,요,㎍/L,2023,adult,성인,p95,0.848
중금속,크로뮴,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.407
중금속,크로뮴,요,㎍/g cr.,2023,preschool,영유아,p95,0.883
중금속,크로뮴,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.218
중금속,크로뮴,요,㎍/g cr.,2023,elementary,초등학생,p95,0.47
중금속,크로뮴,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.175
중금속,크로뮴,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.394
중금속,크로뮴,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.252
중금속,크로뮴,요,㎍/g cr.,2023,adult,성인,p95,0.966
다환방향족 탄화수소 대사체,1-하이드록시피렌,요,㎍/L,2023,preschool,영유아,p95,0.353
다환방향족 탄화수소 대사체,1-하이드록시피렌,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.0669
다환방향족 탄화수소 대사체,1-하이드록시피렌,요,㎍/L,2023,elementary,초등학생,p95,0.342
다환방향족 탄화수소 대사체,1-하이드록시피렌,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.0734
다환방향족 탄화수소 대사체,1-하이드록시피렌,요,㎍/L,2023,middle_high_school,중고등학생,p95,0.336
다환방향족 탄화수소 대사체,1-하이드록시피렌,요,㎍/L,2023,adult,성인,geometric_mean,0.0648
다환방향족 탄화수소 대사체,1-하이드록시피렌,요,㎍/L,2023,adult,성인,p95,0.382
다환방향족 탄화수소 대사체,1-하이드록시피렌,요,㎍/g cr.,2023,preschool,영유아,p95,0.312
다환방향족 탄화수소 대사체,1-하이드록시피렌,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.0536
다환방향족 탄화수소 대사체,1-하이드록시피렌,요,㎍/g cr.,2023,elementary,초등학생,p95,0.239
다환방향족 탄화수소 대사체,1-하이드록시피렌,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.0428
다환방향족 탄화수소 대사체,1-하이드록시피렌,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.184
다환방향족 탄화수소 대사체,1-하이드록시피렌,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.0637
다환방향족 탄화수소 대사체,1-하이드록시피렌,요,㎍/g cr.,2023,adult,성인,p95,0.315
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/L,2023,preschool,영유아,geometric_mean,3.89
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/L,2023,preschool,영유아,p95,32.5
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/L,2023,elementary,초등학생,geometric_mean,3.25
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/L,2023,elementary,초등학생,p95,23.9
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,4.23
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/L,2023,middle_high_school,중고등학생,p95,27.6
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/L,2023,adult,성인,geometric_mean,2.97
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/L,2023,adult,성인,p95,24.5
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,4.52
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/g cr.,2023,preschool,영유아,p95,39.9
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,2.65
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/g cr.,2023,elementary,초등학생,p95,19.2
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,2.47
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,14.0
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/g cr.,2023,adult,성인,geometric_mean,2.97
다환방향족 탄화수소 대사체,2-나프톨,요,㎍/g cr.,2023,adult,성인,p95,18.9
다환방향족 탄화수소 대사체,1-하이드록시페난트렌,요,㎍/L,2023,preschool,영유아,p95,0.361
다환방향족 탄화수소 대사체,1-하이드록시페난트렌,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.0623
다환방향족 탄화수소 대사체,1-하이드록시페난트렌,요,㎍/L,2023,elementary,초등학생,p95,0.381
다환방향족 탄화수소 대사체,1-하이드록시페난트렌,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.074
다환방향족 탄화수소 대사체,1-하이드록시페난트렌,요,㎍/L,2023,middle_high_school,중고등학생,p95,0.38
다환방향족 탄화수소 대사체,1-하이드록시페난트렌,요,㎍/L,2023,adult,성인,geometric_mean,0.0693
다환방향족 탄화수소 대사체,1-하이드록시페난트렌,요,㎍/L,2023,adult,성인,p95,0.426
다환방향족 탄화수소 대사체,1-하이드록시페난트렌,요,㎍/g cr.,2023,preschool,영유아,p95,0.364
다환방향족 탄화수소 대사체,1-하이드록시페난트렌,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.0494
다환방향족 탄화수소 대사체,1-하이드록시페난트렌,요,㎍/g cr.,2023,elementary,초등학생,p95,0.332
다환방향족 탄화수소 대사체,1-하이드록시페난트렌,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.0432
다환방향족 탄화수소 대사체,1-하이드록시페난트렌,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.211
다환방향족 탄화수소 대사체,1-하이드록시페난트렌,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.0678
다환방향족 탄화수소 대사체,1-하이드록시페난트렌,요,㎍/g cr.,2023,adult,성인,p95,0.359
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/L,2023,preschool,영유아,geometric_mean,0.143
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/L,2023,preschool,영유아,p95,0.47
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.136
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/L,2023,elementary,초등학생,p95,0.601
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.18
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/L,2023,middle_high_school,중고등학생,p95,0.64
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/L,2023,adult,성인,geometric_mean,0.175
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/L,2023,adult,성인,p95,1.5
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.161
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/g cr.,2023,preschool,영유아,p95,0.533
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.11
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/g cr.,2023,elementary,초등학생,p95,0.441
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.104
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.356
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.173
다환방향족 탄화수소 대사체,2-하이드록시플루오렌,요,㎍/g cr.,2023,adult,성인,p95,1.17
환경성 페놀류,비스페놀 A,요,㎍/L,2023,preschool,영유아,geometric_mean,0.839
환경성 페놀류,비스페놀 A,요,㎍/L,2023,preschool,영유아,p95,4.05
환경성 페놀류,비스페놀 A,요,㎍/L,2023,elementary,초등학생,geometric_mean,1.16
환경성 페놀류,비스페놀 A,요,㎍/L,2023,elementary,초등학생,p95,4.53
환경성 페놀류,비스페놀 A,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,1.47
환경성 페놀류,비스페놀 A,요,㎍/L,2023,middle_high_school,중고등학생,p95,7.79
환경성 페놀류,비스페놀 A,요,㎍/L,2023,adult,성인,geometric_mean,0.722
환경성 페놀류,비스페놀 A,요,㎍/L,2023,adult,성인,p95,4.11
환경성 페놀류,비스페놀 A,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.975
환경성 페놀류,비스페놀 A,요,㎍/g cr.,2023,preschool,영유아,p95,4.06
환경성 페놀류,비스페놀 A,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.935
환경성 페놀류,비스페놀 A,요,㎍/g cr.,2023,elementary,초등학생,p95,3.63
환경성 페놀류,비스페놀 A,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.829
환경성 페놀류,비스페놀 A,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,4.55
환경성 페놀류,비스페놀 A,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.713
환경성 페놀류,비스페놀 A,요,㎍/g cr.,2023,adult,성인,p95,4.18
환경성 페놀류,비스페놀 F,요,㎍/L,2023,preschool,영유아,geometric_mean,0.19
환경성 페놀류,비스페놀 F,요,㎍/L,2023,preschool,영유아,p95,1.46
환경성 페놀류,비스페놀 F,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.249
환경성 페놀류,비스페놀 F,요,㎍/L,2023,elementary,초등학생,p95,1.68
환경성 페놀류,비스페놀 F,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.259
환경성 페놀류,비스페놀 F,요,㎍/L,2023,middle_high_school,중고등학생,p95,3.22
환경성 페놀류,비스페놀 F,요,㎍/L,2023,adult,성인,geometric_mean,0.224
환경성 페놀류,비스페놀 F,요,㎍/L,2023,adult,성인,p95,1.63
환경성 페놀류,비스페놀 F,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.201
환경성 페놀류,비스페놀 F,요,㎍/g cr.,2023,preschool,영유아,p95,1.64
환경성 페놀류,비스페놀 F,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.197
환경성 페놀류,비스페놀 F,요,㎍/g cr.,2023,elementary,초등학생,p95,1.3
환경성 페놀류,비스페놀 F,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.157
환경성 페놀류,비스페놀 F,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,2.19
환경성 페놀류,비스페놀 F,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.214
환경성 페놀류,비스페놀 F,요,㎍/g cr.,2023,adult,성인,p95,1.7
환경성 페놀류,비스페놀 S,요,㎍/L,2023,preschool,영유아,geometric_mean,0.504
